岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
归藏司衡人工智能负责人,年年有余数字科技,9-14K,广州,学历不限,经验不限,20-99人,医疗健康,团建聚餐|股票期权|定期体检|意外险|底薪加提成|绩效奖金|年终奖|五险一金|员工旅游|企业年金,、你需要成为的角色融合 “战略级的秩序架构师”：boss将AI技术战来自略规划的宏观视野，应用于构建“归藏”21天的微观生命秩序。你规划的不再是技术路线图，而是⼀段“⾝体可感知的秩序”体验蓝图。你的“产品研发落地”，就是每⼀天仪式、每一次内观引导的精确交付。 “人⽂科技的深度集成者”：你领导的“AI团队”是算法与模型，而你领导的“归藏”团队是用户的心流与身体感知。你需要用“出色的跨领域协作能力”，将灵知OS的世界观、东方哲学的智慧，集成为一种可执行、可体验、可闭环的“生命操作系统”SOP。 “结果与气场的双重兜底者”：你对“核心技术竞争力”负责，在归藏中，“核心竞争力”就是极致的用户口碑与转化率。你必须同时用左脑确保数据（打卡率、续费率），用右脑守护场域（信任、氛围、纯净度）。你不是在管理项目，你是在哺育一个生态。 二、你需要具备的特质融合 能力三角： 顶层设计力（AI战略规划）：能规划21天从混沌到有序的完整心流路径。 极致交付力（技术落地经验）：能将“逆熵”哲学拆解为毫不妥协的每日动作、文案与仪式，并确保100%执行。 深度共情力（团队领导与协作）：能“看见”并安抚用户在秩序重建中的不适，用语言和节奏建立深度信任。 内核品质： 审美与哲学自信：你的“审美准绳”和“扎实的理论基础”，在此融合为对“高级、极简、哲学、有序”内容的不可妥协的判断力。你能分辨什么是真正的“风骨”，什么是矫饰的鸡汤。 长期主义的定力：这与“适应快速变化的环境”不矛盾。变化的是外部，不变的是你构建内在秩序的核心。你需要“情绪干净”和“稳定”，才能在长周期中成为用户和项目的定心石。 快速的内化与输出能力：你需要像学习一个前沿AI框架一样，快速、深刻地内化“熵丞体系”“灵知OS”这一整套世界观，并让它成为你语言与决策的本能。 三、最终，这个岗位在寻找什么样的人？ 它寻找的，是 “哲人匠人”。 哲人：能理解并沉醉于“归藏”、“逆熵”、“生命资本”的深层奥义。这是方向与灵魂。 匠人：能像打磨算法一样，极致雕琢每一句引导语、每一个仪式环节、每一段用户交互。这是执行与肉身。
招聘专员｜无责底薪6K（AI人工智能行业）,广州寒星服装有限公司,6-8K,广州,大专,3-5年,20-99人,电子商务,五险一金|年终奖|节日福利|生日福利|保底工资|绩效奖金|零食下午茶|底薪加提成|带薪年假|节假日加班费|团建聚餐|加班补助|员工旅游|定期体检,来自我们是谁： 我们是一家做 AI服装软件 / AI服装工具 的公司，主要帮助服装商家用 AI 快速生成款式图、模特图、商品图和短视频素材。 现在公司正在扩建销售团队，需要⼀名专门负责销售岗位招聘的伙伴。 你的核⼼⼯作就是：帮公司找到合适的销售候选人，邀约到面，推进试岗。 你主要做什么： 在 BOSS 等招聘平台主动沟通销售候选⼈。 筛选有销售经验、沟通积极、愿意赚钱的候选人。 负责邀约面试、提醒到面、跟进试岗。 维护候选人表格，记录沟通状态。 我们希望你： 有招聘、客服、电销、销售、邀约经验优先。 愿意主动沟通，不怕被拒绝。 做事有执行力，能每天推进结果。 会简单表格，能把候选人状态记录清楚。 对销售岗位有基本理解，能判断候选人是否适合做销售。 为什么可以来看看： 公司在做 AI + 服装的新方向，不是传统行业老岗位。 老板直接推动销售团队扩建，岗位目标清楚。 有底薪，也有到面、试岗、留存、出单奖励。 如果你能稳定招到人，后面可以往招聘主管/招聘负责人发展。
ai人工智能开发工程师,广州市信至达科技,6-7K,广州,本科,经验不限,20-99人,计算机服务,底薪加提成|保底工资|绩效奖金,岗位职责： 1、参与AI相关产品的设计与开发； 2、协助完成人boss工智能模型的训练、调优及部署工作； 3、参与技术方案讨论，推动项⽬在实际业务场景中的落地应⽤； 4、持续关注AI领域技术趋势，探索新技术在企业中的可⾏性。 任职要求： 1、具备扎实的编程基础，熟悉Python、java开发语言； 2、了解机器学习、深度学习等人⼯智能相关技术，有项目经验者优先； 3、具备良好的逻辑思维能力与问题分析能力，能独立完成模块开发； 4、热爱技术，具备较强的学习能力与团队协作精神。
人工智能讲师助理,腾科职校,4-6K,广州,本科,1年以内,100-499人,互联网,节日福利|底薪加提成|带薪年假|员工旅游|五险一金|零食下午茶|团建聚餐|生日福利|通讯补贴|绩效奖金,注意：岗位有广东省内出差需要。 实习期间薪资3无责底薪+补贴+奖金，面试定薪，此岗位正常转正 岗位职责： 1、 负责⼈⼯智能相关课程的讲授，涵盖技术栈如机器学习、深度学习、⾃然语言处理、计算机视觉、AI算法等，并根据实际情况进行内容扩展。 2、 根据课程⼤纲和教学需求，设计或调整教学内容和课程计划，确保与学员的学习需求和目标一致。 3、 准备授课所需的教学资料、课件、实验指导书等，确保教学过程顺利进行，同时保证教学资源的高质量。 4、 提供课后辅导和答疑服务，帮助学员解决学习中的难点，保证学员能够充分理解并掌握课程内容。 5、 收集学员对课程的反馈，评估教学效果。根据反馈和评估结果，提出课程改进建议并进行相应调整，确保授课质量持续提升。 6、 定期关注人工智能领域的技术更新与行业动态，了解最新的技术发展趋势，并及时将新技术融入到课程内容中。 7、 配合招生团队，参与技术宣讲、技术体验课、技术线上分享等活动，帮助提升人工智能相关课程的市场知名度，吸引潜在学员。 8、 参与人工智能相关认证考试题库的维护工作，确保题库内容符合最新的认证标准和技术趋势，帮助学员更好地准备考试。 9、 参与人工智能相关课程的内容开发和优化，确保课程内容与行业技术发展同步，与课程资源建设团队密切合作，提供教学反馈，优化课程设计。 10、 参与内外部技术分享会、研讨会等，提升个人和团队的技术影响力，增强专业领域的知名度。 11、 根据任务安排，完善博睿云课程建设或其他资源建设的相关工作，确保平台内容的更新和高质量交付。 质素要求： 1、 计算机科学、人工智能、数据科学、数学等相关专业本科及以上学历，具备扎实的计算机基础和人工智能相关技术知识。 2、 熟悉主流的人工智能技术栈，如机器学习、深度学习、自然语言处理、计算机视觉等，掌握常用框架如TensorFlow、PyTorch、Keras等，具备实际项目经验，能够将理论知识应用于实践。 3、 具有一定的教学经验，能够清晰、简洁地传达复杂的技术概念，帮助学员理解并掌握人工智能技术。 4、 具备较强的课堂管理能力，能够激发学员兴趣并维持课堂秩序，确保课堂的高效互动和学习氛围。 5、 良好的沟通与表达能力，能够根据学员的需求和背景调整教学内容和方式，确保每个学员都能跟上课程进度。 6、 积极学习并跟进行业新技术和趋势，保持对人工智能技术的敏感性，具备创新思维，能够根据技术发展调整课程内容。 7、 拥有相关人工智能领域的认证（如HCIE-AI Solution Architect等）者优先，认证资格能够提升个人在学员中的技术权威。 8、 良好的团队合作精神，能够与其他讲师、课程开发人员及技术支持人员紧密协作，共同提升团队整体教学水平和效果。
AI人工智能软件-双休-五险一金-Deepseek,探迹,8-12K,广州,大专,经验不限,1000-9999人,互联网,员工旅游|五险一金|定期团建|带薪年假|零食下午茶|通讯补贴|年终奖|定期体检|补充医疗保险|全勤奖|股票期权|加班补助|餐补|节日福利,行业优势：互联网大数据+人工智能AI热门行业，公司快速红利发展期，平台发展前景广阔，加入我们一起创事业！ 【好产品、好市场】 每一个优秀的销售Top Sales肯定会选择风口上的产品，探迹做的就是大环境下疯狂增长的优质销售SaaS产品，To B公司老板了解探迹产品后都非常认同，成单快、周期短，许多合作案例皆是首面首签，客户续费比例高，产品实力获得认可 【公司产品】 探迹是一家互联网SaaS公司，主要通过大数据和AI人工智能技术为To B企业提供全流程智能销售云服务的。主要产品：探迹【拓客+探迹AI智能呼叫+ 探迹CRM 】是一款助 B 端中小型企业客户 精准获客、触达和 管理客户的 SaaS 软件系统。 【工作时间】 上下班时间是8:30- 18:00 ，周末双休 【工作内容：精准客源，无需自拓】 销售模式：我们客户群体是B端中小企业，如财税、工商、国际物流、美业等企业客户， 工作内容：通过探迹智能销售云平台进行电话新客户的开发，线下拜访见客户，主管师傅前期带教帮助签单。 来来来！！接着往下看 【我们希望你】 1、大专及以上学历 2、有经验优先考虑，热爱销售。 3、肯学我们愿意教，想赚钱性格开朗外向 【薪资福利】 1、底薪+提成十奖金激励，每年两次根据业绩调整底薪，综合收入15K-20K 2、月底发当月薪资，月光族们还不冲吗，你在等什么，你告诉我？ 3、试用期即缴纳五险一金。 4、传统节假日假期和礼包、不定期下午茶零食团建、部门生日会、结婚生子大红包、年度免费体检、带薪年假、产假、哺乳假、婚丧假等等。 5、完善的培训，行业产品知识＋销售知识，1对1师傅带教，氛围好，以及完善的晋升机制，愿您能在公司有好的发展，工作愉快。 【公司优势】 1、公司层面： ①产研研发投入大，不定期举行新品发布会； ②专注于销售的人工智能服务提供商，连续4年荣登胡润全球独角兽榜； ③获得红杉资本、启明创投、软银愿景基金、阿里巴巴等顶级资本的投资。 2、团队层面： ①带薪系统培训；②入职有师傅一对一帮带，让你能够快速成长；③团队年轻，氛围融洽，大家都是97、00后。 不刷Kpi哈， 诚心招同事，你可以不完美 但不能天马行空 ，一起努力搞钱呀！ 【公司背景】 1、荣誉：连续4年荣登胡润全球独角兽； 2、资方：红衫资本、启明创投、软银愿景基金、阿里巴巴、凯辉基金、GGV纪源资本、九合创投等顶级资本投资，行业赛道广阔。 3、产品软件：探迹（探迹拓客，探迹触达AI，探迹CRM） 4、客户群体：有销售团队的B端企业用户，不限行业。 5、产品作用：帮助企业精准拓客，全面提升销售效率。 【探迹官网】 www
人工智能训练师培训老师考前培训,智威,15-24K,广州,大专,1年以内,20-99人,培训/辅导机构,宿舍有空调|绩效奖金|员工旅游|保底工资|年终奖|工龄奖|住房补贴|定期体检|包吃|餐补|交通补助|全勤奖|生日福利|节日福利|五险一金|意外险,岗位职责： 协助完成《智能系统设计boss与实现》课程的教学内容开发与实验整理，主要包括： 1. 实验环境搭建：Python、Conda、OpenCV 环境配置，ROS基础环境安装与测试，仿真环境（如Gazebo）部署与验证，Linux（Ubuntu）系统安装与基础配置，摄像头（USB/深度摄像头）驱动安装与测试，机器人硬件设备（如小车、机械臂或传感器）基础连接与调试，参与仿真环境与真实硬件系统的联合调试（软硬件联调）； 2. 实验内容开发辅助：整理机器视觉基础实验（图像采集、图像处理等），协助编写示例代码（Python为主），调试视觉与机器⼈相关实验代码，协助完成视觉算法与机器⼈控制模块之间的联动测试，参与机器⼈基础控制实验整理，如运动控制、路径规划基础实验； 3. 课程资料整理：整理实验指导书（Markdown），整理软硬件连接说明文档（如设备接线、端口配置、驱动安装步骤），维护课程实验代码与配置文件，协助整理Git仓库结构（如有）。 4. 课程测试与验证：按课程⼤纲逐个验证实验可执行性，记录错误与修正方案，输出实验运行结果截图与日志，在不同设备或环境下进行实验复现测试，验证实验稳定性，必要时记录实验运行视频，用于课程演示或问题复现 岗位要求： 1、27届本科及以上学历，计算机科学与技术、软件工程、人工智能、自动化、机器人相关专业； 2、熟悉Python 编程，能使用Linux（Ubuntu优先）；具备一定的命令行操作能力，能完成常见环境安装与问题排查； 3、使用过 ROS 或 ROS2 框架，使用过 Gazebo、RViz 或类似仿真工具，接触过机器人小车、机械臂或传感器设备，使用过摄像头或深度相机（如RealSense等），参与过智能车竞赛、机器人竞赛或相关工程项目优先；3、熟悉基础计算机环境配置，具备良好的代码阅读能力； 4、具备基本的动手能力，对软硬件系统调试有兴趣。
人工智能Ai建模,广州戴维思新材料,6-10K,广州,本科,1-3年,0-20人,化学原料/化学制品,,岗位来自职责 1、来自负责平台AI智能商品搜索引擎日boss常运营优化，持续提升用户关键词搜索匹配准确率、召回精准度，解决搜不对、搜不全、不相关等问题。 2、优化AI语义分词、商品标签体系、类目归一、同义词&长尾词适配，迭代AI搜索理解逻辑，强化⾃然语⾔智能匹配能⼒。 3、监控搜索热搜词、异常搜索、无效搜索、错词纠错数据，复盘AI搜索偏差问题，输出优化方案并跟进落地。 4、对接商品、类⽬团队，协同梳理商品标题、属性、规格标准化规范，迭代AI搜索模型效果，持续优化搜索排序、智能联想、模糊搜索准确度，提升搜索转化与用户搜索体验。 5、定期统计搜索准确率、相关率、用户搜索满意度，输出数据分析周报，迭代搜索运营策略。 任职要求 1、熟悉电商平台搜索逻辑、类目规则、关键词运营，了解AI语义搜索、智能分词相关原理优先。 2、具备数据分析能力，能通过搜索数据定位匹配偏差、AI识别错误等问题并优化。 3、细心严谨，擅长商品标签、关键词规整，重视搜索精准度与用户搜索体验。 4、熟悉京东/淘宝等主流电商平台搜索相关性运营、AI搜推运营相关经验优先。
大数据开发工程师（全栈/AI Coding）,明略科技,15-20K,广州,本科,5-10年,1000-9999人,互联网,交通补助|加班补助|带薪年假|补充医疗保险|零食下午茶|定期体检|五险一金|年终奖,我们正在寻找一位boss对AI技术充满热情的应届毕业生，加入我来自们的AI应用开发团队。作为AI应⽤开发助理，你将协助后端和前端⼯程师，参与跨境电商系统中AI功能的实现、数据处理的辅助开发以及基础模块的编码⼯作。此岗位是接触前沿技术（如大语言模型、RAG、AI Agent）的绝佳机会，适合学习能⼒强、具备扎实技术基础的应届生成长 一、岗位职责​ 1、AI功能开发辅助​ 协助完成后端AI模块的基础代码编写（如数据预处理、API接口调试），支持大语言模型集成、RAG系统开发等任务 参与前端AI交互界面的组件实现（如数据看板、聊天机器人界面），使用React/Vue等技术辅助优化用户体验 2、数据处理与系统运维支持​ 协助亚马逊平台数据的清洗、存储和简单分析（如销售数据、广告报表），支持后端数据管道维护 3、参与前端数据可视化组件的测试与优化，确保数据准确展示 4、技术协作与文档沉淀​ 配合团队完成代码测试、故障排查和技术文档编写，学习并应用编码规范 5、参与AI技术调研，整理前沿工具（如LangChain、Dify）的应用案例和最佳实践 二、任职要求​ 1、学历与专业：本科及以上学历，计算机科学、软件工程、人工智能等相关专业 2、技术技能​：​后端基础​：掌握Java或Python至少一门语言，了解Spring Boot、FastAPI等框架；有数据库（MySQL/Redis）或消息队列（Kafka）基础者优先 3、前端基础​：熟悉HTML5/CSS3/JavaScript，了解React或Vue框架；有数据可视化（ECharts）或Node经验者加分 4、AI兴趣​：对LLM、AI Agent等概念有基本认知，有相关课程项目或自学经验者优先 5、核心素质​逻辑清晰，能快速学习新技术，对AI落地业务场景有强烈兴趣 6、具备团队协作精神，能适应敏捷开发节奏，良好的沟通能力和抗压能力
AI人工智能技术开发工程师（薪资面议）,广州学而优信息技术,2-3K,广州,本科,3-5年,20-99人,通信/网络设备,带薪年假|五险一金|零食下午茶|节日福利,各种ai职位，薪资不限； 工作来自职责 1.负责 AI 应用开发范式的设计以及 AI 基础设施的建设，支持公司 AI 应用的快速落地； 2.与产品和算法团队紧密协作，把业务的 AI 需求转化为技术解决⽅案，并提供对应的系统底座⼯具； 3.确保 AI 应⽤系统架构稳定且高效地运行，助⼒业务优化性能、增强系统稳定性； 4.持续追踪前沿技术趋势，关注并探索 AI 新应用，适时引入新技术与新方法，不断提升产品在技术和工程架构方面的先进性。 任职资格 1、本科及以上学历，计算机相关专业优先，具有 5 年及以上相关工作经验； 2、熟练掌握 Python、Go 等编程语言，具备扎实的数据结构与软件工程基础，以及较强的系统架构设计能力； 3、具备企业级人工智能平台或应用研发经验，有 Dify、OpenClaw 等平台或相关产品实践经验者优先； 4、具备较强的产品意识，拥有良好的数据分析能力、逻辑思维能力及沟通表达能力；
AI Lead / AI Expert（多个岗位，多个HCs）,某大型日化上市公司,40-70K·14薪,广州,本科,5-10年,10000人以上,日化,五险一金|加班补助|带薪年假|年终奖|通讯补贴|补充医疗保险|节日福利|股票期权,岗位职责: 1. 制定项目开发计划并跟进执行，确保项目按boss时推进与目标达成； 2. 协调跨部门资源，推动各环节协作，解决项⽬实施过程中的关键问题； 3. 定期汇报项⽬进展，识别潜在风险并提出应对⽅案。 任职要求: 1. 逻辑思维清晰，具备优秀的分析与问题解决能力； 2. 沟通协调能力强，能够⾼效推动团队合作与资源整合； 3. 主动性强，具备创新意识和推动改进的能力，适应高强度工作节奏。
